Date,Open,High,Low,Close,Volume
2023-08-17,135.4600,136.0850,133.5300,133.9800,48354085
2023-08-16,137.1900,137.2700,135.0100,135.0700,41675903
2023-08-15,140.0500,141.2778,137.2300,137.6700,42781521
2023-08-14,138.3000,140.5900,137.7500,140.5700,47148699
2023-08-11,137.4000,139.3300,137.0000,138.4100,42905833
2023-08-10,139.0750,140.4100,137.4900,138.5600,58928402
2023-08-09,139.9700,140.3200,137.1000,137.8500,50017349
2023-08-08,140.6200,140.8400,138.4200,139.9400,51710497
2023-08-07,140.9900,142.5400,138.9500,142.2200,71213112
2023-08-04,141.0600,143.6300,139.3200,139.5700,153128470
2023-08-03,127.4800,129.8400,126.4100,128.9100,91163736
2023-08-02,130.1540,130.2300,126.8200,128.2100,51027614
2023-08-01,133.5500,133.6900,131.6199,131.6900,42298925
2023-07-31,133.2000,133.8700,132.3800,133.6800,41901516
2023-07-28,129.6900,133.0100,129.3300,132.2100,46317381
2023-07-27,131.0000,132.6300,127.7900,128.2500,52610661
2023-07-26,126.5100,129.0800,126.1100,128.1500,53910087
2023-07-25,129.3100,129.5800,128.5300,129.1300,39236663
2023-07-24,130.3050,131.6600,128.3500,128.8000,45671535
2023-07-21,131.3400,131.3700,128.4150,130.0000,133307294
2023-07-20,134.0700,134.7915,129.3300,129.9600,59820579
2023-07-19,133.3900,135.9900,132.5300,135.3600,54531037
2023-07-18,132.7100,133.8600,131.3550,132.8300,54969133
2023-07-17,134.5600,135.6200,133.2100,133.5600,48450198
2023-07-14,134.0600,136.6500,134.0600,134.6800,54487090
2023-07-13,134.0400,134.6700,132.7100,134.3000,61170883
2023-07-12,130.3100,131.2600,128.8300,130.8000,54022847
2023-07-11,127.7500,129.7700,127.3500,128.7800,49951460
2023-07-10,129.0700,129.2800,125.9150,127.1300,61889289
2023-07-07,128.5900,130.9700,128.1294,129.7800,41992251
2023-07-06,128.2500,128.7300,127.3700,128.3600,40697848
2023-07-05,130.2400,131.4000,129.6400,130.3800,35895409
2023-07-03,130.8200,131.8500,130.0650,130.2200,28264785
2023-06-30,129.4700,131.2450,128.9500,130.3600,54350684
2023-06-29,128.7700,129.2600,127.2550,127.9000,40760959
2023-06-28,128.9400,131.4800,128.4400,129.0400,52149512
2023-06-27,128.6300,130.0850,127.5500,129.1800,46801008
2023-06-26,129.3300,131.4900,127.1000,127.3300,59989317
2023-06-23,129.1100,130.8400,128.2800,129.3300,71927776
2023-06-22,125.3100,130.3300,125.1400,130.1500,90354572
2023-06-21,125.6400,126.7300,123.8500,124.8300,52137670
2023-06-20,124.9700,127.2500,124.5000,125.7800,56930122
2023-06-16,127.7100,127.9000,125.3000,125.4900,84247104
2023-06-15,125.2100,127.6900,124.3200,127.1100,60458471
2023-06-14,126.7000,126.9500,124.1200,126.4200,52422463
2023-06-13,128.1200,128.4100,125.1800,126.6600,50564785
2023-06-12,124.0200,126.7800,123.5300,126.5700,51473376
2023-06-09,124.0800,125.8000,123.1900,123.4300,51396018
2023-06-08,123.0100,125.6250,122.2579,124.2500,62159270
2023-06-07,127.0100,127.3650,120.6300,121.2300,95663275
2023-06-06,125.0700,127.4000,125.0000,126.6100,45695212
2023-06-05,123.3600,125.8000,123.0300,125.3000,47950128
2023-06-02,124.9200,126.3900,124.0150,124.2500,61264414
2023-06-01,120.6900,123.4900,119.9300,122.7700,54375131
2023-05-31,121.4500,122.0400,119.1700,120.5800,71769273
2023-05-30,122.3700,122.9200,119.8550,121.6600,64314808
2023-05-26,116.0400,121.5000,116.0200,120.1100,96779889
2023-05-25,116.6300,116.8700,114.3100,115.0000,66496681
2023-05-24,115.3500,117.3400,115.0200,116.7500,63487938
2023-05-23,114.2700,117.1400,113.7800,114.9900,67576262
2023-05-22,116.7700,116.7700,114.2500,115.0100,70741123
2023-05-19,118.1600,118.3100,115.7000,116.2500,55056307
2023-05-18,116.6900,118.6000,116.3350,118.1500,73174087
2023-05-17,114.8900,115.8300,114.2200,115.5000,65655177
2023-05-16,111.0500,114.7899,111.0500,113.4000,71472908
2023-05-15,111.1500,112.2900,109.2500,111.2000,53011145
2023-05-12,112.1600,112.6400,109.3185,110.2600,49852671
2023-05-11,111.0300,113.2800,110.4900,112.1800,74924841
2023-05-10,108.1000,110.6700,108.0500,110.1900,78627616
2023-05-09,105.4800,106.7900,105.1567,106.6200,44089359
2023-05-08,105.0400,106.0950,104.7001,105.8300,49430909
2023-05-05,104.2700,105.7600,103.5500,105.6550,56951744
2023-05-04,104.0400,105.3900,103.3117,104.0000,45345523
2023-05-03,103.7350,105.9600,103.2800,103.6500,65051925
2023-05-02,101.4700,103.9000,101.1500,103.6300,73469350
2023-05-01,104.9500,105.2300,101.8200,102.0500,74728096
2023-04-28,107.7300,109.4800,104.3300,105.4500,130715946
2023-04-27,108.1600,110.8600,106.8000,109.8200,149961167
2023-04-26,105.0400,106.6200,104.1000,104.9800,71821215
2023-04-25,104.9100,105.4500,102.4500,102.5700,65026818
2023-04-24,107.6550,109.2300,105.0700,106.2100,69575610
2023-04-21,106.1000,108.1500,105.0800,106.9600,86774185
2023-04-20,103.5300,105.2500,103.2100,103.8100,57696866
2023-04-19,101.5800,105.1200,101.3900,104.3000,58398890
2023-04-18,103.9500,104.2000,101.5200,102.3000,39790518
2023-04-17,103.1600,103.7300,101.5900,102.7400,39791535
2023-04-14,102.0700,103.2013,101.1100,102.5100,51450522
2023-04-13,98.9500,102.5700,98.7100,102.4000,67925138
2023-04-12,100.4000,100.5100,97.7050,97.8300,56735007
2023-04-11,100.8000,101.0000,99.0100,99.9200,60417847
2023-04-10,100.9600,102.2000,99.5700,102.1700,37261185
2023-04-06,100.7500,102.3817,99.8008,102.0600,43808020
2023-04-05,103.9100,103.9100,100.7506,101.1000,45175393
2023-04-04,102.7500,104.2000,102.1100,103.9500,48662496
2023-04-03,102.3000,103.2900,101.4300,102.4100,41135733
2023-03-31,102.1600,103.4900,101.9500,103.2900,56750317
